size,milliseconds,threadsNum,acceleration
6250000,1297,2.0,0.7694680030840401
6250000,785,3.0,1.2713375796178343
6250000,764,4.0,1.306282722513089
6250000,641,5.0,1.5569422776911077
6250000,635,6.0,1.5716535433070866
6250000,634,7.0,1.5741324921135647
6250000,581,8.0,1.7177280550774527
6250000,583,9.0,1.711835334476844
6250000,593,10.0,1.6829679595278246
6250000,539,11.0,1.8515769944341374
6250000,540,12.0,1.848148148148148
6250000,992,2.0,1.0443548387096775
6250000,855,3.0,1.2116959064327486
6250000,760,4.0,1.3631578947368421
6250000,659,5.0,1.5720789074355084
6250000,606,6.0,1.7095709570957096
6250000,581,7.0,1.783132530120482
6250000,583,8.0,1.777015437392796
6250000,566,9.0,1.8303886925795052
6250000,560,10.0,1.85
6250000,602,11.0,1.7209302325581395
6250000,676,12.0,1.532544378698225
6250000,1353,2.0,0.7664449371766445
6250000,858,3.0,1.2086247086247086
6250000,728,4.0,1.4244505494505495
6250000,657,5.0,1.578386605783866
6250000,603,6.0,1.7197346600331676
6250000,595,7.0,1.7428571428571429
6250000,571,8.0,1.8161120840630474
6250000,552,9.0,1.8786231884057971
6250000,550,10.0,1.8854545454545455
6250000,553,11.0,1.8752260397830018
6250000,551,12.0,1.882032667876588
6250000,1061,2.0,1.0179076343072573
6250000,823,3.0,1.3122721749696233
6250000,739,4.0,1.4614343707713127
6250000,720,5.0,1.5
6250000,634,6.0,1.7034700315457414
6250000,582,7.0,1.8556701030927836
6250000,568,8.0,1.9014084507042253
6250000,588,9.0,1.836734693877551
6250000,588,10.0,1.836734693877551
6250000,548,11.0,1.9708029197080292
6250000,545,12.0,1.981651376146789
6250000,1352,2.0,0.8321005917159763
6250000,804,3.0,1.3992537313432836
6250000,744,4.0,1.5120967741935485
6250000,694,5.0,1.6210374639769451
6250000,602,6.0,1.8687707641196014
6250000,648,7.0,1.7361111111111112
6250000,569,8.0,1.9771528998242531
6250000,577,9.0,1.949740034662045
6250000,556,10.0,2.023381294964029
6250000,537,11.0,2.094972067039106
6250000,570,12.0,1.9736842105263157
6890625,1329,2.0,0.9315274642588413
6890625,898,3.0,1.378619153674833
6890625,829,4.0,1.4933655006031363
6890625,732,5.0,1.6912568306010929
6890625,692,6.0,1.7890173410404624
6890625,679,7.0,1.8232695139911634
6890625,669,8.0,1.850523168908819
6890625,646,9.0,1.91640866873065
6890625,657,10.0,1.8843226788432268
6890625,625,11.0,1.9808
6890625,604,12.0,2.0496688741721854
6890625,1530,2.0,0.7751633986928105
6890625,907,3.0,1.3076074972436604
6890625,790,4.0,1.5012658227848101
6890625,802,5.0,1.4788029925187032
6890625,710,6.0,1.6704225352112676
6890625,661,7.0,1.794251134644478
6890625,646,8.0,1.8359133126934986
6890625,604,9.0,1.9635761589403973
6890625,629,10.0,1.8855325914149443
6890625,615,11.0,1.9284552845528455
6890625,599,12.0,1.979966611018364
6890625,1635,2.0,0.7467889908256881
6890625,988,3.0,1.23582995951417
6890625,840,4.0,1.4535714285714285
6890625,786,5.0,1.5534351145038168
6890625,745,6.0,1.6389261744966444
6890625,674,7.0,1.811572700296736
6890625,636,8.0,1.919811320754717
6890625,605,9.0,2.018181818181818
6890625,605,10.0,2.018181818181818
6890625,605,11.0,2.018181818181818
6890625,743,12.0,1.6433378196500672
6890625,1590,2.0,0.7855345911949686
6890625,949,3.0,1.316122233930453
6890625,900,4.0,1.3877777777777778
6890625,739,5.0,1.6901217861975644
6890625,692,6.0,1.8049132947976878
6890625,648,7.0,1.9274691358024691
6890625,663,8.0,1.8838612368024132
6890625,596,9.0,2.0956375838926173
6890625,621,10.0,2.0112721417069244
6890625,590,11.0,2.116949152542373
6890625,643,12.0,1.9424572317262832
6890625,1356,2.0,0.9033923303834809
6890625,936,3.0,1.3087606837606838
6890625,833,4.0,1.4705882352941178
6890625,805,5.0,1.5217391304347827
6890625,719,6.0,1.7037552155771905
6890625,707,7.0,1.7326732673267327
6890625,661,8.0,1.853252647503782
6890625,625,9.0,1.96
6890625,608,10.0,2.0148026315789473
6890625,613,11.0,1.9983686786296901
6890625,590,12.0,2.0762711864406778
7562500,1679,2.0,0.8534842167957117
7562500,1043,3.0,1.3739213806327901
7562500,903,4.0,1.5869324473975637
7562500,815,5.0,1.7582822085889571
7562500,829,6.0,1.7285886610373944
7562500,715,7.0,2.0041958041958043
7562500,679,8.0,2.110456553755523
7562500,666,9.0,2.1516516516516515
7562500,643,10.0,2.228615863141524
7562500,651,11.0,2.2012288786482337
7562500,649,12.0,2.2080123266563945
7562500,1455,2.0,0.9848797250859107
7562500,1105,3.0,1.2968325791855204
7562500,1010,4.0,1.4188118811881187
7562500,901,5.0,1.590455049944506
7562500,775,6.0,1.8490322580645162
7562500,738,7.0,1.9417344173441735
7562500,705,8.0,2.0326241134751775
7562500,718,9.0,1.9958217270194987
7562500,687,10.0,2.0858806404657932
7562500,689,11.0,2.0798258345428158
7562500,670,12.0,2.138805970149254
7562500,2044,2.0,0.7191780821917808
7562500,1027,3.0,1.4313534566699124
7562500,845,4.0,1.7396449704142012
7562500,807,5.0,1.821561338289963
7562500,824,6.0,1.7839805825242718
7562500,730,7.0,2.0136986301369864
7562500,705,8.0,2.0851063829787235
7562500,711,9.0,2.067510548523207
7562500,671,10.0,2.1907600596125185
7562500,687,11.0,2.1397379912663754
7562500,714,12.0,2.0588235294117645
7562500,1731,2.0,0.8001155401502021
7562500,1063,3.0,1.3029162746942615
7562500,900,4.0,1.538888888888889
7562500,851,5.0,1.627497062279671
7562500,831,6.0,1.6666666666666667
7562500,719,7.0,1.9262865090403338
7562500,683,8.0,2.0278184480234263
7562500,671,9.0,2.0640834575260807
7562500,656,10.0,2.111280487804878
7562500,655,11.0,2.114503816793893
7562500,659,12.0,2.101669195751138
7562500,1663,2.0,0.7991581479254359
7562500,1001,3.0,1.3276723276723277
7562500,988,4.0,1.3451417004048583
7562500,887,5.0,1.4983089064261557
7562500,753,6.0,1.7649402390438247
7562500,713,7.0,1.8639551192145862
7562500,773,8.0,1.7192755498059509
7562500,722,9.0,1.8407202216066483
7562500,714,10.0,1.861344537815126
7562500,668,11.0,1.9895209580838322
7562500,648,12.0,2.050925925925926
8265625,2552,2.0,0.7151253918495298
8265625,1127,3.0,1.619343389529725
8265625,979,4.0,1.86414708886619
8265625,910,5.0,2.0054945054945055
8265625,830,6.0,2.1987951807228914
8265625,796,7.0,2.292713567839196
8265625,750,8.0,2.433333333333333
8265625,732,9.0,2.4931693989071038
8265625,725,10.0,2.5172413793103448
8265625,719,11.0,2.5382475660639776
8265625,720,12.0,2.5347222222222223
8265625,1537,2.0,1.0097592713077423
8265625,1285,3.0,1.207782101167315
8265625,1173,4.0,1.3231031543052003
8265625,972,5.0,1.5967078189300412
8265625,922,6.0,1.683297180043384
8265625,844,7.0,1.838862559241706
8265625,816,8.0,1.9019607843137254
8265625,793,9.0,1.957124842370744
8265625,787,10.0,1.9720457433290979
8265625,735,11.0,2.11156462585034
8265625,762,12.0,2.036745406824147
8265625,1917,2.0,0.828377673448096
8265625,1074,3.0,1.4785847299813781
8265625,988,4.0,1.6072874493927125
8265625,880,5.0,1.8045454545454545
8265625,824,6.0,1.9271844660194175
8265625,783,7.0,2.028097062579821
8265625,752,8.0,2.1117021276595747
8265625,726,9.0,2.18732782369146
8265625,713,10.0,2.227208976157083
8265625,714,11.0,2.224089635854342
8265625,777,12.0,2.043758043758044
8265625,1934,2.0,0.8200620475698035
8265625,1063,3.0,1.4920037629350893
8265625,1029,4.0,1.5413022351797863
8265625,991,5.0,1.6004036326942481
8265625,924,6.0,1.7164502164502164
8265625,798,7.0,1.987468671679198
8265625,762,8.0,2.0813648293963256
8265625,732,9.0,2.1666666666666665
8265625,724,10.0,2.1906077348066297
8265625,729,11.0,2.175582990397805
8265625,825,12.0,1.9224242424242424
8265625,1629,2.0,1.0306936771025168
8265625,1090,3.0,1.5403669724770641
8265625,1248,4.0,1.345352564102564
8265625,1100,5.0,1.5263636363636364
8265625,997,6.0,1.6840521564694082
8265625,889,7.0,1.8886389201349831
8265625,835,8.0,2.0107784431137725
8265625,793,9.0,2.1172761664564943
8265625,747,10.0,2.247657295850067
8265625,816,11.0,2.0575980392156863
8265625,945,12.0,1.7767195767195767
9000000,1966,2.0,1.1042726347914547
