17:10:39.952 [main] INFO  Exercise3 - [COMMON WORDS: word probably on to the and know marshmellow ]
17:11:21.904 [main] INFO  Exercise3 - [COMMON WORDS: word probably on to the and know marshmallow ]
19:14:14.802 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add the and to combine in in the to concern a not of a the will two new serve the with the and in the new world the have the be to be with a for his in at the combine of the marinade the juice in a or food the be for a of be a highly add the juice and puree combine roman pick from list of the to in of the be you learn to a by do it this national be a recent to the national of its their to for this be do the or have make in recent year a make it to datum it the of and for the practice on which its in the a by that of its in in a bowl combine the use a to the to the or of and offer to wish to they the world have report a in profit after the a of its the that and than think in a large bowl sugar and salt make a well in of the show a of and over a of one million year with hand work with a have be form the in the profit have be by analyst after the say in that the have drink sale in europe roman the of for the of the roman but be from building become a new roman the from the of the roman in to the be with the of these the roman only to in the of the in its report the say it have for a end to the life for they be a time after be if they do not the time the will have a core the the be to under in the of a report which the current a a combine the sugar and salt in a bowl or the bowl of a and with a hand at speed or in a with the graphic design be a of any or this be in a in these and much of the be to this while the be combine the and and to he a a with a new a this graphic design software make it to up and the of be this will you the of design for and the have it to be good design and if you to be with that sale in bowl combine and into will be in add and to one of the to ]
19:14:55.085 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:47:12.846 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:47:35.385 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:47:44.686 [main] INFO  Exercise3 - [SINGLE DURATION: 280][FORK JOIN DURATION: 161][FORK JOIN EFFICIENCY: 1.7391304347826086]
19:47:52.167 [main] INFO  Exercise3 - [SINGLE DURATION: 292][FORK JOIN DURATION: 174][FORK JOIN EFFICIENCY: 1.6781609195402298]
19:47:56.761 [main] INFO  Exercise3 - [SINGLE DURATION: 292][FORK JOIN DURATION: 169][FORK JOIN EFFICIENCY: 1.727810650887574]
19:48:21.551 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:48:22.263 [main] INFO  Exercise3 - [SINGLE DURATION: 165][FORK JOIN DURATION: 154][FORK JOIN EFFICIENCY: 1.0714285714285714]
19:51:52.054 [main] INFO  Exercise3 - [SINGLE DURATION: 430][FORK JOIN DURATION: 332][FORK JOIN EFFICIENCY: 1.2951807228915662]
19:51:52.821 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:51:58.180 [main] INFO  Exercise3 - [SINGLE DURATION: 312][FORK JOIN DURATION: 229][FORK JOIN EFFICIENCY: 1.3624454148471616]
19:51:58.820 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:52:03.320 [main] INFO  Exercise3 - [SINGLE DURATION: 438][FORK JOIN DURATION: 310][FORK JOIN EFFICIENCY: 1.4129032258064516]
19:52:04.071 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:52:13.319 [main] INFO  Exercise3 - [SINGLE DURATION: 337][FORK JOIN DURATION: 194][FORK JOIN EFFICIENCY: 1.7371134020618557]
19:52:21.325 [main] INFO  Exercise3 - [SINGLE DURATION: 372][FORK JOIN DURATION: 205][FORK JOIN EFFICIENCY: 1.8146341463414635]
19:54:38.344 [main] INFO  Exercise3 - [SINGLE DURATION: 305][FORK JOIN DURATION: 170][FORK JOIN EFFICIENCY: 1.7941176470588236]
19:54:46.283 [main] INFO  Exercise3 - [SINGLE DURATION: 279][FORK JOIN DURATION: 179][FORK JOIN EFFICIENCY: 1.558659217877095]
19:54:46.845 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:54:50.242 [main] INFO  Exercise3 - [SINGLE DURATION: 298][FORK JOIN DURATION: 168][FORK JOIN EFFICIENCY: 1.7738095238095237]
19:54:50.784 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:54:55.411 [main] INFO  Exercise3 - [SINGLE DURATION: 282][FORK JOIN DURATION: 173][FORK JOIN EFFICIENCY: 1.630057803468208]
19:54:55.952 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:55:03.350 [main] INFO  Exercise3 - [SINGLE DURATION: 284][FORK JOIN DURATION: 173][FORK JOIN EFFICIENCY: 1.6416184971098267]
19:55:03.911 [main] INFO  Exercise3 - [COMMON WORDS: the lime juice oil salt and cumin in a large bowl add to combine concern not of will two new serve with world have be for his at marinade or food highly puree roman pick from list you learn by do it this national recent its their make year datum practice on which that use offer wish they report profit after than think sugar well show over one million hand work form analyst say drink sale europe but building become these only end life time if core under current speed graphic design any much while he software up good into ]
19:19:21.533 [main] INFO  Exercise3 - [SINGLE DURATION: 391][FORK JOIN DURATION: 214][FORK JOIN EFFICIENCY: 1.8271028037383177]
