22:05:13.362 [main] INFO  Exercise4 - [SINGLE DURATION: 192][FORK JOIN DURATION: 32][FORK JOIN EFFICIENCY: 6.0]
22:06:43.794 [main] INFO  Exercise4 - [SINGLE DURATION: 752][FORK JOIN DURATION: 171][FORK JOIN EFFICIENCY: 4.39766081871345]
22:06:58.561 [main] INFO  Exercise4 - [SINGLE DURATION: 782][FORK JOIN DURATION: 140][FORK JOIN EFFICIENCY: 5.585714285714285]
22:07:02.398 [main] INFO  Exercise4 - [SINGLE DURATION: 758][FORK JOIN DURATION: 185][FORK JOIN EFFICIENCY: 4.097297297297297]
22:07:06.373 [main] INFO  Exercise4 - [SINGLE DURATION: 744][FORK JOIN DURATION: 150][FORK JOIN EFFICIENCY: 4.96]
22:07:09.838 [main] INFO  Exercise4 - [SINGLE DURATION: 719][FORK JOIN DURATION: 194][FORK JOIN EFFICIENCY: 3.7061855670103094]
22:07:13.536 [main] INFO  Exercise4 - [SINGLE DURATION: 677][FORK JOIN DURATION: 148][FORK JOIN EFFICIENCY: 4.574324324324325]
22:07:16.823 [main] INFO  Exercise4 - [SINGLE DURATION: 755][FORK JOIN DURATION: 149][FORK JOIN EFFICIENCY: 5.067114093959732]
22:07:20.554 [main] INFO  Exercise4 - [SINGLE DURATION: 769][FORK JOIN DURATION: 145][FORK JOIN EFFICIENCY: 5.303448275862069]
22:07:24.271 [main] INFO  Exercise4 - [SINGLE DURATION: 770][FORK JOIN DURATION: 193][FORK JOIN EFFICIENCY: 3.989637305699482]
22:07:28.682 [main] INFO  Exercise4 - [SINGLE DURATION: 712][FORK JOIN DURATION: 144][FORK JOIN EFFICIENCY: 4.944444444444445]
22:07:32.316 [main] INFO  Exercise4 - [SINGLE DURATION: 705][FORK JOIN DURATION: 149][FORK JOIN EFFICIENCY: 4.731543624161074]
22:07:35.912 [main] INFO  Exercise4 - [SINGLE DURATION: 791][FORK JOIN DURATION: 145][FORK JOIN EFFICIENCY: 5.455172413793103]
22:07:39.602 [main] INFO  Exercise4 - [SINGLE DURATION: 750][FORK JOIN DURATION: 158][FORK JOIN EFFICIENCY: 4.746835443037975]
