MillisServer,MillisClient,Size,ThreadsNum,AlgType
66,632,100,2,BLOCK_STRIPED
92,159,100,2,FOX
87,132,100,2,SINGLE
57,84,100,3,BLOCK_STRIPED
59,86,100,3,FOX
149,106,100,3,SINGLE
44,65,100,4,BLOCK_STRIPED
44,65,100,4,FOX
112,147,100,4,SINGLE
39,66,100,5,BLOCK_STRIPED
43,64,100,5,FOX
87,109,100,5,SINGLE
39,62,100,6,BLOCK_STRIPED
42,64,100,6,FOX
112,105,100,6,SINGLE
39,60,100,7,BLOCK_STRIPED
41,61,100,7,FOX
112,105,100,7,SINGLE
37,59,100,8,BLOCK_STRIPED
43,60,100,8,FOX
110,106,100,8,SINGLE
40,60,100,9,BLOCK_STRIPED
38,60,100,9,FOX
84,104,100,9,SINGLE
39,59,100,10,BLOCK_STRIPED
38,60,100,10,FOX
84,109,100,10,SINGLE
41,60,100,11,BLOCK_STRIPED
44,66,100,11,FOX
90,109,100,11,SINGLE
38,59,100,12,BLOCK_STRIPED
38,60,100,12,FOX
86,105,100,12,SINGLE
1259,1349,300,2,BLOCK_STRIPED
1151,1199,300,2,FOX
2126,2163,300,2,SINGLE
888,915,300,3,BLOCK_STRIPED
1201,1219,300,3,FOX
2135,2181,300,3,SINGLE
866,900,300,4,BLOCK_STRIPED
770,795,300,4,FOX
2126,2147,300,4,SINGLE
774,798,300,5,BLOCK_STRIPED
786,814,300,5,FOX
2109,2149,300,5,SINGLE
756,790,300,6,BLOCK_STRIPED
784,823,300,6,FOX
2099,2132,300,6,SINGLE
759,799,300,7,BLOCK_STRIPED
798,838,300,7,FOX
2105,2133,300,7,SINGLE
763,802,300,8,BLOCK_STRIPED
957,928,300,8,FOX
2101,2188,300,8,SINGLE
767,804,300,9,BLOCK_STRIPED
762,815,300,9,FOX
2112,2131,300,9,SINGLE
878,835,300,10,BLOCK_STRIPED
784,814,300,10,FOX
2104,2137,300,10,SINGLE
794,806,300,11,BLOCK_STRIPED
784,813,300,11,FOX
2141,2175,300,11,SINGLE
866,881,300,12,BLOCK_STRIPED
832,870,300,12,FOX
2133,2164,300,12,SINGLE
8683,5657,500,2,BLOCK_STRIPED
9355,9616,500,2,FOX
14542,18265,500,2,SINGLE
4028,4026,500,3,BLOCK_STRIPED
8722,5301,500,3,FOX
14494,18214,500,3,SINGLE
3567,3605,500,4,BLOCK_STRIPED
3396,3459,500,4,FOX
18263,10262,500,4,SINGLE
4198,4301,500,5,BLOCK_STRIPED
3556,3581,500,5,FOX
9684,9801,500,5,SINGLE
3538,3563,500,6,BLOCK_STRIPED
3557,3578,500,6,FOX
9693,9715,500,6,SINGLE
3549,3567,500,7,BLOCK_STRIPED
